nest_qualities, num_ants, pop_coeff, lambda_sigmoid, QUORUM_THRE, QUORUM_OFFSET, search_find, follow_find, lead_forward, transport, run_number, score, conv_nest, conv_nest_quality, avg_rounds_til_empty, avg_brood_good, avg_pop_good_nest
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.03, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0008149959250203749, 4, 2.0, 1426, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.06, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0006997900629811056, 4, 2.0, 1628, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.09, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0009363295880149813, 4, 2.0, 1267, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.12, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.002008032128514056, 4, 2.0, 697, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.15, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.003968253968253968, 2, 1.0, 451, 0.0,200
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.18, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0019305019305019305, 4, 2.0, 717, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.21, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0026109660574412533, 4, 2.0, 582, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.24, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0036363636363636364, 3, 1.5, 474, 0.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.27, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.006329113924050633, 4, 2.0, 357, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.3, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.005263157894736842, 4, 2.0, 389, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.33, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0031847133757961785, 4, 2.0, 513, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.36, 0, 0.005, 0.4, 0.6, 0.7, 0, 0, -1, -100, 1999, 0,2
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.39, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0015360983102918587, 4, 2.0, 850, 1.0,0
nest_qualities, num_ants, pop_coeff, lambda_sigmoid, QUORUM_THRE, QUORUM_OFFSET, search_find, follow_find, lead_forward, transport, run_number, score, conv_nest, conv_nest_quality, avg_rounds_til_empty, avg_brood_good, avg_pop_good_nest
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.03, 0, 0.005, 0.4, 0.6, 0.7, 0, 0, -1, -100, 1999, 0.0,83
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.06, 0, 0.005, 0.4, 0.6, 0.7, 0, 0, -1, -100, 1999, 0.78,55
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.09, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0031446540880503146, 4, 2.0, 517, 1.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.12, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.001081081081081081, 2, 1.0, 1124, 0.0,196
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.15, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0016863406408094434, 3, 1.5, 792, 0.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.18, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0035971223021582736, 3, 1.5, 477, 0.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.21, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0015105740181268882, 2, 1.0, 861, 0.0,196
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.24, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0029940119760479044, 4, 2.0, 533, 1.0,3
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.27, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.002066115702479339, 2, 1.0, 683, 0.0,193
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.3, 0, 0.005, 0.4, 0.6, 0.7, 0, 0, -1, -100, 1999, 0,9
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.33, 0, 0.005, 0.4, 0.6, 0.7, 0, 0, -1, -100, 1999, 0,10
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.36, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.002849002849002849, 3, 1.5, 550, 0.0,0
"[0.0, 0.5, 1.0, 1.5, 2.0]", 200, 0.35, 8.0, 0.39, 0, 0.005, 0.4, 0.6, 0.7, 0, 0.0018552875695732839, 1, 0.5, 738, 0.0,0
